algorithm,environment,seed,generation_time,nodes_count,edges_count,dispersion,discrepancy,node_utilization,avg_nodes_per_path,medial_axis_nodes_count,medial_axis_edges_count,medial_axis_dispersion,medial_axis_discrepancy
delta,maze,43,0.7346,461,2409,0.4578,0.039,0.0174,1.05,0,0,0.0,0.0
delta,maze,114,0.8353,482,2677,0.4096,0.0644,0.0373,2.5,0,0,0.0,0.0
delta,maze,520,0.8019,472,2560,0.3954,0.0454,0.0254,2.65,0,0,0.0,0.0
beam,maze,43,0.8666,322,971,0.5807,0.0334,0.0272,1.0,147,157,0.886,0.0633
beam,maze,114,0.8362,316,907,0.5421,0.0278,0.0274,0.3,146,155,0.9033,0.0599
beam,maze,520,0.787,305,884,0.6003,0.0373,0.0131,0.3,153,162,1.0157,0.0645
spars,maze,43,2.0324,232,435,0.7872,0.1087,0.0345,1.95,0,0,0.0,0.0
spars,maze,114,3.554,286,645,0.7531,0.1001,0.0315,1.35,0,0,0.0,0.0
spars,maze,520,0.8954,225,371,0.777,0.0983,0.0222,0.6,0,0,0.0,0.0
delta,indoor,N/A,0.9473,538,4792,0.4181,0.0516,0,0,0.0,0.0
beam,indoor,N/A,0.682,218,1050,0.7893,0.0493,60,83,1.3658,0.1083
spars,indoor,N/A,1.1745,100,202,1.2874,0.1411,0,0,0.0,0.0
delta,random,43,2.4022,660,9146,0.7057,0.0758,0.0197,0.68,0,0,0.0,0.0
delta,random,114,2.3853,666,8855,0.2956,0.0669,0.018,0.6,0,0,0.0,0.0
delta,random,520,2.3272,665,8976,0.6009,0.0692,0.018,0.6,0,0,0.0,0.0
beam,random,43,2.4654,350,2072,0.8783,0.0407,0.0115,0.18,261,480,1.05,0.0666
beam,random,114,1.9967,325,1709,0.5084,0.0381,0.0245,0.32,245,437,0.8299,0.0587
beam,random,520,2.0071,335,1791,0.5559,0.0362,0.0373,0.45,241,415,1.0029,0.0576
spars,random,43,4.2853,450,1079,0.5763,0.1024,0.0178,0.4,0,0,0.0,0.0
spars,random,114,4.21,428,1056,0.5732,0.1153,0.014,0.3,0,0,0.0,0.0
spars,random,520,4.2485,415,1054,0.6734,0.1339,0.0193,0.45,0,0,0.0,0.0
