environment,algorithm,input_param,nodes_mean,nodes_std,edges_mean,edges_std,time_mean,time_std
random,delta,100,75.67,14.08,187.0,53.72,0.0605,0.0045
random,delta,200,194.33,2.36,826.33,39.53,0.217,0.0128
random,delta,300,297.0,0.82,1958.33,60.48,0.4909,0.0121
random,delta,400,397.0,2.16,3313.33,150.02,0.8391,0.0254
random,delta,500,499.33,0.47,5188.67,81.3,1.2997,0.015
random,delta,600,599.33,0.47,7328.67,147.5,1.8674,0.0336
random,delta,700,664.67,24.9,8980.33,604.91,2.3091,0.1701
random,delta,800,663.67,25.25,9026.33,717.37,2.3056,0.186
random,delta,900,716.0,4.32,10281.33,152.62,2.674,0.0323
random,delta,1000,701.33,8.22,9760.0,253.37,2.5342,0.0593
random,delta,1100,703.67,6.55,10007.67,379.65,2.5787,0.082
random,delta,1200,685.33,21.3,9569.33,550.51,2.4547,0.157
random,delta,1300,675.0,31.19,9231.33,906.25,2.3762,0.2278
random,delta,1400,676.0,9.27,9283.0,340.49,2.3755,0.0712
random,delta,1500,676.33,11.67,9175.33,268.69,2.3556,0.0874
random,delta,1600,694.67,1.7,9775.33,142.01,2.5157,0.0174
random,delta,1700,682.33,12.28,9536.33,328.05,2.4385,0.0754
random,delta,1800,682.0,23.15,9447.33,622.0,2.4475,0.1858
random,delta,1900,673.0,16.75,9188.0,446.67,2.3587,0.1233
random,delta,2000,701.33,32.36,9987.67,904.27,2.5963,0.2437
random,beam,100,52.33,21.01,147.67,72.21,0.0905,0.0143
random,beam,200,199.67,0.47,703.0,38.13,0.3374,0.015
random,beam,300,299.33,0.47,1373.67,12.26,1.2275,0.0495
random,beam,400,339.67,5.73,1848.0,91.98,2.1459,0.0086
random,beam,500,330.0,6.48,1735.33,46.81,2.0454,0.0535
random,beam,600,339.33,6.13,1771.33,96.94,2.0883,0.0729
random,beam,700,344.0,4.55,1863.33,76.62,2.1691,0.0077
random,beam,800,342.33,4.99,1872.67,33.83,2.218,0.1466
random,beam,900,346.0,4.32,1895.67,61.24,2.1975,0.0958
random,beam,1000,336.33,3.09,1792.67,35.84,2.1355,0.1769
random,beam,1100,341.33,3.86,1852.0,32.69,2.0883,0.0791
random,beam,1200,346.33,3.68,1835.67,31.26,2.1836,0.1319
random,beam,1300,340.67,4.19,1840.67,71.2,2.0684,0.0885
random,beam,1400,337.33,6.24,1794.33,72.37,2.0526,0.0856
random,beam,1500,345.33,8.65,1901.67,115.83,2.1747,0.1006
random,beam,1600,338.33,10.53,1820.33,140.03,2.0292,0.1022
random,beam,1700,341.67,2.36,1847.0,18.78,2.1058,0.0431
random,beam,1800,340.0,6.16,1822.33,89.85,2.0405,0.1229
random,beam,1900,339.67,0.47,1796.33,14.27,2.123,0.0433
random,beam,2000,341.0,2.45,1835.33,51.45,2.1292,0.0482
random,spars,100,59.67,3.3,33.0,3.74,0.0183,0.0006
random,spars,200,106.67,4.5,110.0,12.36,0.0682,0.0046
random,spars,300,116.0,5.66,146.33,14.06,0.1337,0.0079
random,spars,400,146.0,5.72,207.67,7.59,0.2288,0.0074
random,spars,500,173.33,14.08,267.33,22.37,0.341,0.0107
random,spars,600,207.0,2.16,344.67,11.15,0.4864,0.011
random,spars,700,225.67,6.8,406.0,25.78,0.6247,0.0037
random,spars,800,246.67,1.25,470.67,9.98,0.8195,0.007
random,spars,900,262.67,13.91,509.33,35.98,0.9867,0.0262
random,spars,1000,278.0,2.83,576.67,25.59,1.1988,0.0035
random,spars,1100,314.33,6.13,660.33,12.71,1.4639,0.0039
random,spars,1200,331.33,11.84,709.67,25.53,1.7016,0.0508
random,spars,1300,331.67,10.66,724.0,29.88,1.9297,0.0424
random,spars,1400,355.33,12.36,814.33,40.0,2.2305,0.0331
random,spars,1500,375.0,4.9,848.0,20.85,2.5537,0.0169
random,spars,1600,376.67,7.85,880.33,35.87,2.8736,0.0421
random,spars,1700,400.67,13.7,971.33,50.68,3.2032,0.0493
random,spars,1800,408.67,13.6,1007.67,24.55,3.4899,0.0707
random,spars,1900,410.67,13.3,1010.67,24.14,3.8415,0.0532
random,spars,2000,426.67,11.44,1054.33,39.11,4.2515,0.0215
random,gsrm,100,595.0,16.27,1106.67,23.61,0.5992,0.0138
random,gsrm,200,707.0,21.42,1403.0,49.2,0.9478,0.0089
random,gsrm,300,744.67,20.95,1488.67,42.32,1.2852,0.008
random,gsrm,400,733.33,15.43,1466.33,33.63,1.5784,0.0036
random,gsrm,500,755.33,15.17,1511.0,50.46,1.9154,0.0161
random,gsrm,600,751.67,9.74,1510.0,23.76,2.213,0.0019
random,gsrm,700,754.33,8.34,1517.67,19.15,2.5431,0.0284
random,gsrm,800,744.67,5.19,1474.33,24.57,2.8231,0.0045
random,gsrm,900,748.33,7.76,1502.67,17.13,3.1474,0.0189
random,gsrm,1000,748.0,6.68,1486.67,6.02,3.4491,0.0106
random,gsrm,1100,747.67,8.65,1487.33,21.64,3.7849,0.0168
random,gsrm,1200,757.33,13.12,1523.67,44.68,4.0796,0.0102
random,gsrm,1300,757.0,3.74,1521.67,3.86,4.4111,0.0234
random,gsrm,1400,743.67,2.05,1491.0,9.09,4.6826,0.0032
random,gsrm,1500,750.67,3.86,1500.33,13.82,5.028,0.0286
random,gsrm,1600,750.67,8.38,1496.0,27.65,5.3194,0.0094
random,gsrm,1700,756.0,14.45,1516.0,34.55,5.6371,0.0089
random,gsrm,1800,744.33,6.94,1479.0,21.28,5.9674,0.0171
random,gsrm,1900,731.67,21.51,1452.0,54.52,6.2641,0.0184
random,gsrm,2000,759.0,0.82,1523.33,9.03,6.5855,0.0295
maze,delta,100,12.33,2.87,23.0,10.2,0.0369,0.001
maze,delta,200,102.0,34.77,248.67,78.24,0.1384,0.0013
maze,delta,300,300.0,0.0,1017.67,22.29,0.3062,0.0029
maze,delta,400,400.0,0.0,1828.0,14.72,0.5526,0.0026
maze,delta,500,467.0,16.87,2492.33,193.01,0.7645,0.0631
maze,delta,600,460.67,7.59,2446.0,84.95,0.736,0.0252
maze,delta,700,485.0,9.2,2706.33,111.49,0.8312,0.0271
maze,delta,800,483.33,11.15,2668.33,132.06,0.8215,0.0419
maze,delta,900,499.67,2.05,2840.33,26.84,0.8783,0.0128
maze,delta,1000,481.67,17.25,2639.0,203.55,0.8176,0.0719
maze,delta,1100,486.0,17.8,2703.33,184.58,0.8327,0.0707
maze,delta,1200,493.0,12.57,2773.67,137.29,0.8597,0.0423
maze,delta,1300,485.67,10.21,2722.67,121.39,0.8207,0.0366
maze,delta,1400,479.33,27.92,2631.67,311.03,0.8033,0.0959
maze,delta,1500,490.0,17.66,2752.0,196.51,0.8318,0.0604
maze,delta,1600,454.33,16.76,2374.67,193.33,0.713,0.0516
maze,delta,1700,471.0,13.64,2532.0,161.3,0.7682,0.0489
maze,delta,1800,471.0,21.12,2553.33,239.41,0.7753,0.076
maze,delta,1900,478.33,10.21,2634.33,94.47,0.7994,0.0376
maze,delta,2000,481.0,1.41,2665.67,27.63,0.8131,0.0099
maze,beam,100,33.67,9.74,65.67,15.28,0.0669,0.0034
maze,beam,200,111.67,42.47,254.67,101.92,0.2585,0.0168
maze,beam,300,269.0,43.84,735.33,123.29,0.68,0.0303
maze,beam,400,309.0,13.37,893.33,96.09,0.8007,0.0668
maze,beam,500,320.33,8.26,955.67,52.26,0.8546,0.0336
maze,beam,600,312.33,3.3,909.33,29.94,0.8193,0.014
maze,beam,700,324.67,10.14,985.33,61.33,0.8886,0.0532
maze,beam,800,311.67,6.6,910.33,37.62,0.8172,0.0286
maze,beam,900,315.33,5.44,937.67,40.84,0.8436,0.0269
maze,beam,1000,319.67,13.47,951.67,71.77,0.8495,0.0667
maze,beam,1100,323.33,17.52,987.0,103.95,0.8699,0.0835
maze,beam,1200,324.67,13.82,977.67,80.96,0.8881,0.0699
maze,beam,1300,318.33,20.53,944.0,117.91,0.8446,0.0873
maze,beam,1400,317.0,11.34,937.33,59.78,0.8462,0.0543
maze,beam,1500,324.0,9.09,987.33,54.63,0.8706,0.0458
maze,beam,1600,318.67,6.02,951.33,49.7,0.85,0.0329
maze,beam,1700,321.0,11.78,963.0,71.43,0.8669,0.05
maze,beam,1800,321.67,12.04,981.33,78.08,0.8652,0.0632
maze,beam,1900,313.0,13.93,920.67,78.91,0.825,0.0588
maze,beam,2000,324.0,8.52,997.0,49.98,0.901,0.0577
maze,spars,100,62.67,0.94,14.0,2.94,0.0115,0.0009
maze,spars,200,94.33,4.19,40.33,11.81,0.0371,0.0015
maze,spars,300,125.0,0.82,85.67,3.4,0.077,0.0016
maze,spars,400,147.33,4.64,129.33,10.96,0.1282,0.002
maze,spars,500,159.33,3.4,152.33,11.15,0.1859,0.0036
maze,spars,600,175.67,2.05,195.0,5.89,0.2587,0.0088
maze,spars,700,184.67,5.31,221.0,7.87,0.3368,0.0013
maze,spars,800,191.67,1.7,237.33,4.64,0.423,0.0023
maze,spars,900,201.33,10.96,284.33,16.13,0.5242,0.0044
maze,spars,1000,214.67,5.79,312.67,9.29,0.6368,0.011
maze,spars,1100,215.0,9.42,325.33,30.38,0.7557,0.015
maze,spars,1200,243.33,13.52,396.67,34.42,0.9066,0.0169
maze,spars,1300,233.0,10.2,399.33,26.66,1.0358,0.0149
maze,spars,1400,230.67,6.02,386.33,26.95,1.1598,0.0034
maze,spars,1500,240.67,4.11,425.0,12.33,1.3288,0.005
maze,spars,1600,253.67,4.5,476.33,23.47,1.4862,0.0124
maze,spars,1700,263.33,6.02,528.0,20.54,1.6938,0.0238
maze,spars,1800,245.67,19.57,448.0,98.35,1.4133,0.5381
maze,spars,1900,252.33,27.92,469.0,104.73,1.6604,0.5407
maze,spars,2000,274.67,4.5,553.33,9.18,2.2517,0.0092
maze,gsrm,100,801.33,4.11,1549.67,10.87,0.8423,0.0059
maze,gsrm,200,1010.0,12.75,2081.0,44.77,1.4473,0.013
maze,gsrm,300,1059.33,20.34,2214.67,49.16,1.9357,0.014
maze,gsrm,400,1050.67,19.91,2194.0,57.56,2.4187,0.0255
maze,gsrm,500,1078.0,12.96,2252.67,40.3,2.8893,0.0111
maze,gsrm,600,1063.0,13.93,2235.67,42.28,3.37,0.0255
maze,gsrm,700,1070.67,22.88,2247.67,62.66,3.8577,0.0346
maze,gsrm,800,1064.0,13.74,2225.0,33.54,4.3111,0.0113
maze,gsrm,900,1078.67,12.66,2260.67,35.97,4.8084,0.0247
maze,gsrm,1000,1081.67,12.97,2281.67,27.82,5.2674,0.0163
maze,gsrm,1100,1057.33,5.91,2209.33,20.24,5.744,0.0221
maze,gsrm,1200,1081.67,16.44,2287.33,39.2,6.226,0.0179
maze,gsrm,1300,1077.67,7.36,2269.33,23.41,6.6771,0.0424
maze,gsrm,1400,1061.33,10.84,2221.33,29.94,7.1643,0.0267
maze,gsrm,1500,1060.33,14.7,2219.0,44.7,7.6106,0.0414
maze,gsrm,1600,1086.67,11.56,2288.0,33.95,8.12,0.0489
maze,gsrm,1700,1076.33,6.8,2259.0,9.2,8.5565,0.0222
maze,gsrm,1800,1065.0,12.73,2238.67,31.37,9.0302,0.0216
maze,gsrm,1900,1071.0,16.51,2247.33,48.45,9.5218,0.0149
