algorithm,environment,seed,prm_gen_time,success_rate,avg_path_length,avg_search_time,test_count
delta,maze,43,0.7323341369628906,1.0,19.41749458120276,0.13077149152755738,100
delta,maze,114,0.8302905559539795,1.0,20.28901071524399,0.13029157161712646,100
delta,maze,520,0.8041403293609619,1.0,22.893977806965424,0.13818834066390992,100
beam,maze,43,0.8775146007537842,1.0,19.22124227319121,0.06329020261764526,100
beam,maze,114,0.8340752124786377,1.0,20.216345583619216,0.0636068844795227,100
beam,maze,520,0.7914927005767822,1.0,22.803010493436588,0.07214611768722534,100
spars,maze,43,1.8555114269256592,1.0,19.191839810612308,0.08189800262451172,100
spars,maze,114,3.586629629135132,1.0,20.06035514808717,0.09043033361434936,100
spars,maze,520,0.9007985591888428,1.0,22.902883229009184,0.08600135564804078,100
delta,indoor,42,0.7610366344451904,1.0,7.748026671271752,0.1817723822593689,100
beam,indoor,42,0.7298247814178467,1.0,8.450135577948805,0.03451815843582153,100
spars,indoor,42,2.6632332801818848,1.0,7.808362014832139,0.05396357536315918,100
