timestamp,algorithm,environment,num_samples,seed,generation_time,search_time,path_length,edges_count,path_success_rate,spatial_coverage
2026-02-28 15:25:00,delta,random,100,100,0.0626,0.0239,5.3423,197,60.0,0.056737
2026-02-28 15:25:01,delta,random,200,100,0.1919,0.0358,3.6944,882,100.0,0.023322
2026-02-28 15:25:04,delta,random,300,100,0.4095,0.0665,2.8474,1917,100.0,0.014944
2026-02-28 15:25:08,delta,random,500,100,1.1228,0.1222,3.86,5329,100.0,0.008525
2026-02-28 15:25:13,delta,random,800,100,2.1422,0.1502,4.172,9925,100.0,0.00666
2026-02-28 15:25:20,delta,random,1000,100,2.144,0.1499,4.172,9925,100.0,0.00666
2026-02-28 15:25:20,beam,random,100,100,0.0913,0.0217,4.1923,255,40.0,0.08414
2026-02-28 15:25:22,beam,random,200,100,0.347,0.0368,5.0404,651,80.0,0.028168
2026-02-28 15:25:24,beam,random,300,100,1.0449,0.054,4.0958,1336,80.0,0.017553
2026-02-28 15:25:27,beam,random,500,100,2.1906,0.0609,4.1438,1899,80.0,0.014935
2026-02-28 15:25:31,beam,random,800,100,2.1737,0.0608,4.1438,1899,80.0,0.014935
2026-02-28 15:25:35,beam,random,1000,100,2.1665,0.0613,4.1438,1899,80.0,0.014935
2026-02-28 15:25:35,spars,random,100,100,0.1456,0.0208,4.9923,66,80.0,0.060318
2026-02-28 15:25:36,spars,random,200,100,0.608,0.0245,5.1917,116,100.0,0.065898
2026-02-28 15:25:38,spars,random,300,100,1.1942,0.0314,4.659,166,80.0,0.04812
2026-02-28 15:25:42,spars,random,500,100,2.6977,0.0386,5.7341,261,100.0,0.031504
2026-02-28 15:25:49,spars,random,800,100,5.896,0.0502,5.4893,419,100.0,0.022616
2026-02-28 15:26:00,spars,random,1000,100,8.9568,0.0659,4.9288,546,100.0,0.016578
2026-02-28 15:26:01,gsrm,random,100,100,0.6469,0.0157,4.5479,1170,100.0,0.007742
2026-02-28 15:26:02,gsrm,random,200,100,0.7766,0.0181,4.6641,1403,100.0,0.006533
2026-02-28 15:26:03,gsrm,random,300,100,1.0158,0.0196,4.2273,1583,100.0,0.006173
2026-02-28 15:26:05,gsrm,random,500,100,1.4587,0.0193,4.2607,1564,100.0,0.006023
2026-02-28 15:26:08,gsrm,random,800,100,2.1351,0.019,4.2906,1511,100.0,0.006156
2026-02-28 15:26:11,gsrm,random,1000,100,2.5863,0.0186,4.2149,1487,100.0,0.006198
2026-02-28 15:26:11,delta,maze,100,100,0.0324,0.0,0.0,18,0.0,0.0
2026-02-28 15:26:12,delta,maze,200,100,0.1195,0.0,0.0,201,0.0,0.0
2026-02-28 15:26:14,delta,maze,300,100,0.2577,0.0728,18.1372,906,80.0,0.05691
2026-02-28 15:26:17,delta,maze,500,100,0.6847,0.1266,23.6411,2592,100.0,0.036111
2026-02-28 15:26:21,delta,maze,800,100,0.6766,0.1265,23.6411,2592,100.0,0.036111
2026-02-28 15:26:24,delta,maze,1000,100,0.6786,0.1258,23.6411,2592,100.0,0.036111
2026-02-28 15:26:25,beam,maze,100,100,0.0654,0.0,0.0,41,0.0,0.266244
2026-02-28 15:26:25,beam,maze,200,100,0.2781,0.0,0.0,204,0.0,0.115623
2026-02-28 15:26:27,beam,maze,300,100,0.6687,0.0613,21.6561,820,100.0,0.068602
2026-02-28 15:26:30,beam,maze,500,100,1.0207,0.0606,21.625,1027,100.0,0.06162
2026-02-28 15:26:32,beam,maze,800,100,0.9897,0.0612,21.625,1027,100.0,0.06162
2026-02-28 15:26:35,beam,maze,1000,100,0.9817,0.0614,21.625,1027,100.0,0.06162
2026-02-28 15:26:35,spars,maze,100,100,0.018,0.0,0.0,12,0.0,0.025861
2026-02-28 15:26:36,spars,maze,200,100,0.0615,0.0,0.0,37,0.0,0.0
2026-02-28 15:26:36,spars,maze,300,100,0.112,0.0,0.0,92,0.0,0.019721
2026-02-28 15:26:37,spars,maze,500,100,0.2685,0.0,0.0,148,0.0,0.0
2026-02-28 15:26:39,spars,maze,800,100,0.6121,0.0572,8.7648,234,40.0,0.073651
2026-02-28 15:26:41,spars,maze,1000,100,0.8834,0.062,14.5697,268,60.0,0.049298
2026-02-28 15:26:43,gsrm,maze,100,100,0.7138,0.0258,15.8304,1610,100.0,0.021378
2026-02-28 15:26:44,gsrm,maze,200,100,1.1245,0.0307,15.5363,2072,100.0,0.01713
2026-02-28 15:26:47,gsrm,maze,300,100,1.4954,0.0314,15.5753,2175,100.0,0.016562
2026-02-28 15:26:50,gsrm,maze,500,100,2.2014,0.0336,15.6471,2271,100.0,0.015953
2026-02-28 15:26:54,gsrm,maze,800,100,3.2573,0.033,15.5562,2209,100.0,0.016209
2026-02-28 15:26:59,gsrm,maze,1000,100,3.9531,0.0334,15.5066,2232,100.0,0.01601
2026-02-28 15:26:59,delta,indoor,100,100,0.0299,0.0,0.0,34,0.0,0.28733
2026-02-28 15:27:00,delta,indoor,200,100,0.1115,0.0372,3.903,346,80.0,0.076062
2026-02-28 15:27:03,delta,indoor,300,100,0.2488,0.1016,9.507,1513,100.0,0.034235
2026-02-28 15:27:07,delta,indoor,500,100,0.6109,0.1592,9.5124,3678,100.0,0.017269
2026-02-28 15:27:11,delta,indoor,800,100,0.6051,0.157,9.5124,3678,100.0,0.017269
2026-02-28 15:27:16,delta,indoor,1000,100,0.6063,0.1564,9.5124,3678,100.0,0.017269
2026-02-28 15:27:17,beam,indoor,100,100,0.115,0.03,10.2078,282,100.0,0.147575
2026-02-28 15:27:18,beam,indoor,200,100,0.5386,0.0302,8.2342,879,100.0,0.046644
2026-02-28 15:27:20,beam,indoor,300,100,0.826,0.0296,8.2787,1260,100.0,0.039337
