timestamp,algorithm,environment,num_samples,seed,generation_time,search_time,path_length,edges_count,path_success_rate,spatial_coverage
2026-02-28 15:50:21,delta,random,100,100,0.0653,0.0259,5.1418,197,76.0,0.061828
2026-02-28 15:50:23,delta,random,100,101,0.0575,0.0263,4.6088,237,76.0,0.060194
2026-02-28 15:50:24,delta,random,100,102,0.0523,0.0259,5.288,215,74.0,0.049703
2026-02-28 15:50:26,delta,random,100,103,0.0514,0.0274,5.7175,226,88.0,0.066697
2026-02-28 15:50:28,delta,random,100,104,0.0562,0.0269,5.4018,235,88.0,0.055465
2026-02-28 15:50:32,delta,random,200,100,0.1966,0.0476,4.4895,882,96.0,0.024231
2026-02-28 15:50:35,delta,random,200,101,0.2003,0.0474,4.8871,898,98.0,0.025128
2026-02-28 15:50:39,delta,random,200,102,0.1953,0.0473,4.7478,866,96.0,0.02196
2026-02-28 15:50:42,delta,random,200,103,0.1981,0.048,4.6453,915,96.0,0.02603
2026-02-28 15:50:46,delta,random,200,104,0.1998,0.0469,5.0749,888,98.0,0.023311
2026-02-28 15:50:51,delta,random,300,100,0.4318,0.069,4.4589,1917,100.0,0.014624
2026-02-28 15:50:56,delta,random,300,101,0.4308,0.0688,4.4354,1938,96.0,0.015174
2026-02-28 15:51:01,delta,random,300,102,0.4299,0.0721,4.7343,1927,100.0,0.016599
2026-02-28 15:51:07,delta,random,300,103,0.427,0.0667,4.7714,1927,100.0,0.015427
2026-02-28 15:51:12,delta,random,300,104,0.4373,0.0717,5.097,1999,96.0,0.016577
2026-02-28 15:51:21,delta,random,500,100,1.1761,0.1134,4.4085,5329,100.0,0.008394
2026-02-28 15:51:30,delta,random,500,101,1.1361,0.1082,4.7165,5164,100.0,0.009336
2026-02-28 15:51:39,delta,random,500,102,1.1471,0.1155,4.3486,5175,98.0,0.009097
2026-02-28 15:51:48,delta,random,500,103,1.1314,0.1061,4.4695,5145,100.0,0.008243
2026-02-28 15:51:57,delta,random,500,104,1.1533,0.1123,4.8506,5200,100.0,0.0089
2026-02-28 15:52:10,delta,random,800,100,2.239,0.1553,4.6748,9925,100.0,0.006581
2026-02-28 15:52:23,delta,random,800,101,2.3678,0.1614,4.4501,10531,100.0,0.006877
2026-02-28 15:52:35,delta,random,800,102,1.8438,0.1389,4.8956,8267,100.0,0.006674
2026-02-28 15:52:48,delta,random,800,103,2.0129,0.1496,4.4042,8907,100.0,0.00574
2026-02-28 15:53:00,delta,random,800,104,2.1471,0.1483,4.5877,9552,100.0,0.006467
2026-02-28 15:53:14,delta,random,1000,100,2.2106,0.1559,4.6748,9925,100.0,0.006581
2026-02-28 15:53:27,delta,random,1000,101,2.4098,0.1642,4.4501,10531,100.0,0.006877
2026-02-28 15:53:39,delta,random,1000,102,1.821,0.1367,4.8956,8267,100.0,0.006674
2026-02-28 15:53:51,delta,random,1000,103,2.0122,0.1516,4.4042,8907,100.0,0.00574
2026-02-28 15:54:05,delta,random,1000,104,2.1696,0.1501,4.5877,9552,100.0,0.006467
2026-02-28 15:54:18,delta,random,1500,100,2.24,0.1568,4.6748,9925,100.0,0.006581
2026-02-28 15:54:31,delta,random,1500,101,2.3842,0.1645,4.4501,10531,100.0,0.006877
2026-02-28 15:54:43,delta,random,1500,102,1.8433,0.1391,4.8956,8267,100.0,0.006674
2026-02-28 15:54:56,delta,random,1500,103,2.0339,0.1513,4.4042,8907,100.0,0.00574
2026-02-28 15:55:09,delta,random,1500,104,2.2054,0.1516,4.5877,9552,100.0,0.006467
2026-02-28 15:55:22,delta,random,2000,100,2.2742,0.1597,4.6748,9925,100.0,0.006581
2026-02-28 15:55:36,delta,random,2000,101,2.411,0.1659,4.4501,10531,100.0,0.006877
2026-02-28 15:55:48,delta,random,2000,102,1.8589,0.1391,4.8956,8267,100.0,0.006674
2026-02-28 15:56:01,delta,random,2000,103,2.0498,0.1505,4.4042,8907,100.0,0.00574
2026-02-28 15:56:14,delta,random,2000,104,2.1575,0.1499,4.5877,9552,100.0,0.006467
2026-02-28 15:56:15,beam,random,100,100,0.0925,0.0255,6.7331,255,74.0,0.060073
2026-02-28 15:56:17,beam,random,100,101,0.0925,0.0175,4.7138,176,62.0,0.063643
2026-02-28 15:56:18,beam,random,100,102,0.0892,0.0199,4.9834,222,74.0,0.063223
2026-02-28 15:56:19,beam,random,100,103,0.0913,0.0182,4.6108,201,52.0,0.059078
2026-02-28 15:56:21,beam,random,100,104,0.0948,0.0176,4.3926,194,56.0,0.084768
2026-02-28 15:56:23,beam,random,200,100,0.3577,0.0369,5.1752,651,94.0,0.023187
2026-02-28 15:56:27,beam,random,200,101,0.3478,0.0397,4.8214,611,100.0,0.021705
2026-02-28 15:56:30,beam,random,200,102,0.3644,0.0379,4.7456,621,100.0,0.023413
2026-02-28 15:56:33,beam,random,200,103,0.3598,0.0395,4.7394,689,98.0,0.024089
2026-02-28 15:56:36,beam,random,200,104,0.3444,0.0401,5.0801,676,96.0,0.024608
2026-02-28 15:56:41,beam,random,300,100,1.1012,0.0523,4.695,1336,98.0,0.015672
2026-02-28 15:56:46,beam,random,300,101,1.1796,0.0536,4.5786,1374,100.0,0.013737
2026-02-28 15:56:51,beam,random,300,102,1.1411,0.0573,4.5121,1369,100.0,0.015365
2026-02-28 15:56:56,beam,random,300,103,1.2602,0.0555,4.6495,1353,100.0,0.016161
2026-02-28 15:57:01,beam,random,300,104,1.2335,0.0582,4.7899,1364,100.0,0.015638
2026-02-28 15:57:08,beam,random,500,100,2.2091,0.0583,4.6854,1899,98.0,0.013367
2026-02-28 15:57:14,beam,random,500,101,2.1154,0.0574,4.5405,1798,100.0,0.012136
2026-02-28 15:57:21,beam,random,500,102,2.3087,0.0643,4.5075,1902,100.0,0.01316
2026-02-28 15:57:27,beam,random,500,103,2.3718,0.0612,4.6196,1855,100.0,0.014115
2026-02-28 15:57:34,beam,random,500,104,2.5266,0.0655,4.7258,1795,100.0,0.013702
2026-02-28 15:57:41,beam,random,800,100,2.2233,0.0589,4.6854,1899,98.0,0.013367
2026-02-28 15:57:47,beam,random,800,101,2.1017,0.0573,4.5405,1798,100.0,0.012136
2026-02-28 15:57:53,beam,random,800,102,2.2902,0.0632,4.5075,1902,100.0,0.01316
2026-02-28 15:58:00,beam,random,800,103,2.3189,0.0606,4.6196,1855,100.0,0.014115
2026-02-28 15:58:07,beam,random,800,104,2.4675,0.0638,4.7258,1795,100.0,0.013702
2026-02-28 15:58:14,beam,random,1000,100,2.2731,0.0599,4.6854,1899,98.0,0.013367
