timestamp,algorithm,environment,num_samples,seed,generation_time,search_time,path_length,edges_count,path_success_rate,spatial_coverage
2026-02-28 19:51:32,delta,random,50,100,0.0188,0.003,4.0859,38,30.0,0.155863
2026-02-28 19:51:32,delta,random,50,101,0.005,0.0012,2.9698,15,2.0,0.412161
2026-02-28 19:51:32,delta,random,50,102,0.0051,0.0031,6.0674,35,14.0,0.224772
2026-02-28 19:51:32,delta,random,50,103,0.0048,0.0019,3.1388,26,12.0,0.448603
2026-02-28 19:51:33,delta,random,50,104,0.0055,0.0031,4.5547,58,42.0,0.169373
2026-02-28 19:51:33,delta,random,100,100,0.016,0.0062,5.1603,191,74.0,0.062943
2026-02-28 19:51:33,delta,random,100,101,0.0176,0.0062,4.6661,232,76.0,0.060177
2026-02-28 19:51:34,delta,random,100,102,0.0171,0.0063,4.9209,219,82.0,0.060815
2026-02-28 19:51:34,delta,random,100,103,0.0168,0.0067,5.7099,224,88.0,0.0668
2026-02-28 19:51:35,delta,random,100,104,0.0167,0.0066,5.4114,231,86.0,0.062832
2026-02-28 19:51:36,delta,random,200,100,0.0576,0.0114,4.515,866,96.0,0.02404
2026-02-28 19:51:36,delta,random,200,101,0.0593,0.0116,4.8893,888,98.0,0.024963
2026-02-28 19:51:37,delta,random,200,102,0.0574,0.0112,4.7495,857,96.0,0.02204
2026-02-28 19:51:38,delta,random,200,103,0.057,0.0115,4.6416,906,96.0,0.025223
2026-02-28 19:51:39,delta,random,200,104,0.0589,0.0112,5.1136,879,98.0,0.023421
2026-02-28 19:51:40,delta,random,300,100,0.1214,0.0164,4.5141,1881,100.0,0.014825
2026-02-28 19:51:41,delta,random,300,101,0.1236,0.0168,4.5837,1916,96.0,0.015969
2026-02-28 19:51:43,delta,random,300,102,0.1242,0.0173,4.7351,1906,100.0,0.016608
2026-02-28 19:51:44,delta,random,300,103,0.1205,0.0157,4.7699,1897,100.0,0.015452
2026-02-28 19:51:45,delta,random,300,104,0.1251,0.017,5.1008,1988,96.0,0.016615
2026-02-28 19:51:48,delta,random,500,100,0.3292,0.0269,4.4089,5248,98.0,0.008383
2026-02-28 19:51:50,delta,random,500,101,0.3236,0.0263,4.6594,5084,100.0,0.009346
2026-02-28 19:51:52,delta,random,500,102,0.3194,0.0272,4.4467,5123,96.0,0.008872
2026-02-28 19:51:54,delta,random,500,103,0.32,0.0254,4.4798,5064,100.0,0.008238
2026-02-28 19:51:56,delta,random,500,104,0.3256,0.027,4.8501,5127,100.0,0.008909
2026-02-28 19:51:59,delta,random,800,100,0.6343,0.0372,4.6744,9771,100.0,0.006594
2026-02-28 19:52:03,delta,random,800,101,0.6785,0.0388,4.4492,10350,100.0,0.006889
2026-02-28 19:52:06,delta,random,800,102,0.5155,0.032,4.9378,8154,100.0,0.007536
2026-02-28 19:52:09,delta,random,800,103,0.5695,0.0355,4.4067,8781,100.0,0.005754
2026-02-28 19:52:12,delta,random,800,104,0.625,0.0374,4.5543,9450,100.0,0.00714
2026-02-28 19:52:15,delta,random,1000,100,0.6486,0.0371,4.6744,9771,100.0,0.006594
2026-02-28 19:52:19,delta,random,1000,101,0.681,0.0389,4.4492,10350,100.0,0.006889
2026-02-28 19:52:22,delta,random,1000,102,0.5161,0.0324,4.9378,8154,100.0,0.007536
2026-02-28 19:52:25,delta,random,1000,103,0.5723,0.0356,4.4067,8781,100.0,0.005754
2026-02-28 19:52:28,delta,random,1000,104,0.6296,0.0379,4.5543,9450,100.0,0.00714
2026-02-28 19:52:31,delta,random,1500,100,0.6431,0.0378,4.6744,9771,100.0,0.006594
2026-02-28 19:52:35,delta,random,1500,101,0.6888,0.0392,4.4492,10350,100.0,0.006889
2026-02-28 19:52:38,delta,random,1500,102,0.5221,0.0322,4.9378,8154,100.0,0.007536
2026-02-28 19:52:41,delta,random,1500,103,0.5716,0.0355,4.4067,8781,100.0,0.005754
2026-02-28 19:52:44,delta,random,1500,104,0.624,0.0374,4.5543,9450,100.0,0.00714
2026-02-28 19:52:47,delta,random,2000,100,0.6352,0.0374,4.6744,9771,100.0,0.006594
2026-02-28 19:52:50,delta,random,2000,101,0.686,0.039,4.4492,10350,100.0,0.006889
2026-02-28 19:52:53,delta,random,2000,102,0.5203,0.032,4.9378,8154,100.0,0.007536
2026-02-28 19:52:56,delta,random,2000,103,0.5803,0.0359,4.4067,8781,100.0,0.005754
2026-02-28 19:53:00,delta,random,2000,104,0.6256,0.0372,4.5543,9450,100.0,0.00714
2026-02-28 19:53:00,beam,random,50,100,0.0169,0.0032,5.0794,95,36.0,0.131853
2026-02-28 19:53:00,beam,random,50,101,0.0155,0.003,4.6473,81,48.0,0.117148
2026-02-28 19:53:00,beam,random,50,102,0.0174,0.0032,5.1078,63,34.0,0.120696
2026-02-28 19:53:00,beam,random,50,103,0.017,0.003,3.9366,96,42.0,0.090496
2026-02-28 19:53:00,beam,random,50,104,0.0182,0.003,6.0245,99,6.0,0.112205
2026-02-28 19:53:01,beam,random,100,100,0.0566,0.0061,6.8153,251,74.0,0.060015
2026-02-28 19:53:01,beam,random,100,101,0.0621,0.0043,4.7262,176,62.0,0.063643
2026-02-28 19:53:02,beam,random,100,102,0.0555,0.0051,5.5489,219,70.0,0.076824
2026-02-28 19:53:02,beam,random,100,103,0.0577,0.0044,4.3965,198,48.0,0.058676
2026-02-28 19:53:02,beam,random,100,104,0.0596,0.0041,4.4988,192,56.0,0.088053
2026-02-28 19:53:03,beam,random,200,100,0.256,0.009,5.1698,645,94.0,0.023143
2026-02-28 19:53:04,beam,random,200,101,0.2559,0.0095,4.8224,607,100.0,0.021659
